epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,228.725,1.01178,3.48224,1.32428,0.00528,0.9863,0.11089,0.06622,0.66819,3.72495,1.11527,6.668e-05,6.668e-05,6.668e-05
2,386.8,0.84646,3.14688,1.14008,0.00553,1,0.80224,0.63548,0.50848,3.43113,0.91145,0.000145079,0.000145079,0.000145079
3,544.841,0.85316,2.55591,1.1889,0.00614,1,0.88264,0.73295,0.48129,3.39441,0.90935,0.000217977,0.000217977,0.000217977
4,712.618,0.76474,2.03593,1.09563,0.00653,1,0.88452,0.75576,0.4942,3.39731,0.92492,0.000285374,0.000285374,0.000285374
5,879.81,0.75721,1.68506,1.0673,0.00675,0.9863,0.90177,0.75919,0.54422,3.38311,0.9399,0.000347269,0.000347269,0.000347269
6,1042.18,0.74009,1.54035,1.04502,0.00692,0.9863,0.91668,0.75154,0.57046,3.37656,0.92742,0.000403664,0.000403664,0.000403664
7,1201.79,0.75935,1.5401,1.09236,0.00749,1,0.8975,0.73448,0.53181,3.38709,0.93075,0.000454558,0.000454558,0.000454558
8,1367.35,0.78031,1.42853,1.07478,0.00748,0.9726,0.85598,0.67273,0.61056,3.44294,0.98333,0.00049995,0.00049995,0.00049995
9,1526.61,0.65945,1.25903,1.0147,0.00787,1,0.91633,0.70555,0.66721,3.33212,0.97858,0.000539841,0.000539841,0.000539841
10,1689.93,0.71881,1.21737,1.03937,0.0078,1,0.93624,0.70011,0.61158,3.29382,0.96337,0.000574231,0.000574231,0.000574231
11,1850.24,0.64203,1.21208,0.9865,0.00782,1,0.92337,0.72496,0.55295,3.27823,0.93122,0.000603121,0.000603121,0.000603121
12,2012.03,0.63593,1.24919,1.03257,0.00811,1,0.94331,0.73818,0.54589,3.21002,0.94163,0.000626509,0.000626509,0.000626509
13,2173.26,0.64516,1.15169,1.00908,0.00804,0.9589,0.90016,0.72997,0.52223,3.1452,0.92873,0.000644396,0.000644396,0.000644396
14,2338.44,0.59951,1.08492,0.94209,1,0.40332,0.98229,0.87123,0.48832,2.97197,0.88607,0.000656781,0.000656781,0.000656781
15,2502.6,0.62353,1.22683,1.00771,1,0.33636,0.96604,0.83098,0.46616,2.86496,0.86202,0.000663666,0.000663666,0.000663666
16,2661.21,0.57254,1.05825,0.96205,1,0.35881,0.97566,0.87268,0.44406,2.7802,0.84176,0.00066505,0.00066505,0.00066505
17,2822.36,0.63949,1.11813,1.03194,1,0.45125,0.96662,0.84035,0.48673,2.69147,0.85183,0.000660932,0.000660932,0.000660932
18,2989.09,0.58755,1.06777,0.93906,1,0.52976,0.96599,0.85567,0.46002,2.64641,0.84567,0.000651314,0.000651314,0.000651314
19,3146.47,0.64872,1.11838,1.03541,1,0.48475,0.96856,0.87149,0.41391,2.60948,0.84095,0.000636194,0.000636194,0.000636194
20,3312.41,0.60816,1.10088,1.00204,1,0.71779,0.97548,0.87016,0.46502,2.42795,0.87274,0.000615573,0.000615573,0.000615573
21,3473.51,0.43113,1.30068,0.87629,0.98233,0.76153,0.96823,0.8596,0.50538,2.44088,0.9063,0.00056678,0.00056678,0.00056678
22,3635.29,0.47326,1.35243,0.90469,0.98258,0.7729,0.97602,0.84793,0.49326,2.46295,0.93073,0.000511769,0.000511769,0.000511769
23,3796.53,0.46829,1.40291,0.9146,1,0.79908,0.9867,0.85217,0.47274,2.44362,0.91267,0.000456758,0.000456758,0.000456758
24,3954.95,0.4185,1.32398,0.9019,0.98527,0.91653,0.99066,0.89703,0.40648,2.12466,0.82598,0.000401747,0.000401747,0.000401747
25,4112.94,0.42706,1.26825,0.89642,0.99607,0.94521,0.99311,0.91393,0.37581,1.97003,0.80915,0.000346736,0.000346736,0.000346736
26,4277.61,0.41996,1.20317,0.88511,1,0.95642,0.99419,0.93391,0.35313,1.82172,0.79555,0.000291725,0.000291725,0.000291725
27,4432.44,0.36527,1.12934,0.83368,0.9863,0.98646,0.99446,0.94136,0.33035,1.70308,0.79095,0.000236714,0.000236714,0.000236714
28,4594.49,0.41047,1.15929,0.87123,0.9988,1,0.995,0.94867,0.33023,1.55889,0.79048,0.000181703,0.000181703,0.000181703
29,4753.86,0.39053,1.13438,0.895,0.99432,1,0.995,0.94514,0.34151,1.50754,0.79305,0.000126692,0.000126692,0.000126692
30,4915.13,0.37467,1.11898,0.88531,0.99402,1,0.995,0.94385,0.34548,1.44752,0.79297,7.1681e-05,7.1681e-05,7.1681e-05
